stream;start_date;end_date;topic;keywords;stt
RTP1_HD;2024-10-02 00:00:57.0;2024-10-02 00:01:31.0;;phenomenology, people's action, Paris, 1933, meeting;of the ideas of the phenomenology of the people's action for the first time, these motions in Paris in 1933, in a meeting with two...
RTP1_HD;2024-10-02 00:01:39.0;2024-10-02 00:01:49.0;;desanuviar, calor, história, três amigos, Jean Poirsac, Paris, 1933;Para desanuviar um bocadinho, está calor, vamos contar esta história. Três amigos, Jean Poirsac, que tomava nota de Paris, 1933.
RTP1_HD;2024-10-02 00:01:57.0;2024-10-02 00:02:24.0;;Simone de Beauvoir, Raymond Aaron, Bec de Gaz, Montparnasse, Paris, Vale de Pénin, cocktails, coffin;And, as I said, Simone de Beauvoir. And the third friend was Raymond Aaron. They met at a bar called Bec de Gaz, on the street of Montparnasse. If you ever go to Paris, visit the Vale de Pénin. And while they drink deal persoal cocktails, the coffin has its moment. When were to be sick cash derealizationsones.
RTP1_HD;2024-10-02 00:03:16.0;2024-10-02 00:03:26.0;;Mario, maravilhoso, vida, tragédia, Pedro, conversa;Tudo, Mario, pode ser maravilhoso. A vida toda pela frente. Não é uma tragédia, Pedro. Não é uma tragédia. Acabou, acabou a conversa. Não é uma tragédia. Ok?
RTP1_HD;2024-10-02 00:10:07.0;2024-10-02 00:10:14.0;;cabeça, Jorge, desempregados;A esta hora, e tudo de cabeça. O que é que queres que eu faça, Jorge? Não vou e ficamos os dois desempregados, é isso?
RTP1_HD;2024-10-02 00:12:24.0;2024-10-02 00:12:30.0;;2 ou 3 vezes por semana, casa, roupa toda amarrada;2 ou 3 vezes por semana. Ela chega a casa com a roupa toda amarrada.
RTP1_HD;2024-10-02 00:36:58.0;2024-10-02 00:37:29.0;;;Não é preciso repetir, pá, não? Eu tenho o direito de falar com o seu filho. Vai chegar o teu filho e deixa o meu em paz. O que é que é essa merda que andas a vigiar na escola? Não achas que ele reparou? Achas que ele não tem problemas que cheguem? É que eu só preciso de falar com ele. O que é que é que é que eu te digo? Que foi o teu filho e aquela gaja maluca que meteram merdas na cabeça? É isso que queres ouvir, é? Não, senhor. É isso que tu queres ouvir, é? Não, senhor. Pau, vai para dentro. Pau! Só não te foda, tromba, que eu tenho pena de ti. Olha que a pena não dura para sempre. Olha que a pena não dura para sempre. Pau! Vai para dentro, pau. Deixa... Voltas aqui e eu faço...
RTP1_HD;2024-10-02 00:46:45.0;2024-10-02 00:47:31.0;Disasters;;Não foi apenas um tremor de terra, não foi apenas a terra abanar, foi basicamente toda a minha vida abanar. Eu vi-me envolvido numa missão humanitária que dura até os dias de hoje. Eu tive que arranjar formas de recolher fundos para ajudar estas pessoas. E aí que eu trouxe aventuras humanitárias. Eu queria que a trupa não fosse só para poucas pessoas, fosse um caminho com mais pessoas. Ninguém acreditava neste projeto. A pandemia deixou-me pensar mais tempo, será que há trupa em Portugal? Toda a gente dizia que não há. Siga-nos nas redes sociais e conte a sua história em outrashistorias.org Esta quarta-feira, logo a seguir ao Telejornal. O mundo é o teu casino. Bate!
RTP1_HD;2024-10-02 00:47:34.0;2024-10-02 00:47:49.0;;;Para todos os que querem poupar no que mais precisam, o Continente oferece um carrinho de 350€ todas as semanas. É belice a ganhar ao comprar um produto da marca da semana com o cartão Continente. A marca desta semana é... Cigal!
RTP1_HD;2024-10-02 00:48:22.0;2024-10-02 00:48:28.0;;;Casino, apostas desportivas e poker. ESCO Online é outro campeão.
RTP1_HD;2024-10-02 00:48:33.0;2024-10-02 00:48:46.0;;;Achas? Quanto menos mexer, melhor. Nem toda a gente quer o mesmo, mas todos gostam de encontrar o que procuram. O Aul Multi Layer da marca Kasa, com alta resistência e distribuição de calor homogénea, por apenas 27 euros a semana.
RTP1_HD;2024-10-02 00:48:47.0;2024-10-02 00:48:54.0;;;O que rende é ir ao continente. Alguma vez reparaste que quando fazes uma aposta, tudo fica a mais?
RTP1_HD;2024-10-02 00:49:07.0;2024-10-02 00:49:23.0;;;O fim aumenta a emoção.
RTP1_HD;2024-10-02 00:49:24.0;2024-10-02 00:49:45.0;;rende, continente;O que rende é ir ao continente.
RTP1_HD;2024-10-02 00:55:47.0;2024-10-02 00:55:53.0;;acusar-me, falar, todos os dias;Eu achava mesmo que ele estava a acusar-me, mas depois começamos a falar disso todos os dias e...
RTP1_HD;2024-10-02 01:08:37.0;2024-10-02 01:09:17.0;Events & Attractions;;As inscrições para o Festival da Canção 2025 já estão abertas. São seis vagas para autores concorrentes que serão preenchidas pela livre submissão de canções por parte do público. Podem concorrer todos aqueles que tenham nacionalidade ou residência em Portugal e cujo tema a concurso seja inédito e original. Inscrições abertas até 15 de outubro e regulamentos já disponível.
RTP1_HD;2024-10-02 01:09:17.0;2024-10-02 01:09:30.0;;;O nosso tabuleiro de jogos gigante começou com uma centena de concorrentes, agora só há 71 e um deles vai conseguir ganhar o prémio final de 50 mil euros.
RTP1_HD;2024-10-02 01:10:08.0;2024-10-02 01:10:19.0;Politics;;Sejam muito bem-vindos em destaque esta semana à Assembleia Geral das Nações Unidas em Nova Iorque, uma missão militar europeia que acompanhamos em Moçambique.
RTP1_HD;2024-10-02 01:10:19.0;2024-10-02 01:10:25.0;Politics;realizadores finalistas, Prémio Europeu de Cinema Luz;E ainda, conversamos com os realizadores finalistas do Prémio Europeu de Cinema Luz.
RTP1_HD;2024-10-02 01:10:34.0;2024-10-02 01:10:52.0;Politics;Assembleia Geral das Nações Unidas, Nova Iorque, presidente ucraniano, apelos à paz, perigos de um desastre nuclear, França, novo governo;Começamos com os principais destaques desta semana. A Assembleia Geral das Nações Unidas reunida em Nova Iorque. O presidente ucraniano foi mais uma vez fazer apelos à paz e avisar para os perigos de um desastre nuclear. Destaca ainda para a França o novo governo reuniu pela primeira vez.
RTP1_HD;2024-10-02 01:12:31.0;2024-10-02 01:12:40.0;Disasters;missile, drone strike, critical incident, energy system, nuclear disaster;This is how any missile or drone strike, any critical incident in the energy system, could lead to a nuclear disaster.
RTP1_HD;2024-10-02 01:13:08.0;2024-10-02 01:13:32.0;Politics;strengthen, Ukraine, battlefield, security assistance, Pentagon, funding, January;Right now we have to strengthen Ukraine's position on the battlefield. And that's why today I'm proud to announce a new $2.4 billion package of security assistance. I've also directed the Pentagon to allocate all the remaining security assistance funding at an appropriately grand period. By the end of this, my turn, which is January.
RTP1_HD;2024-10-02 01:14:10.0;2024-10-02 01:14:20.0;;rey, piada, Chiesa, decisión, fermeza, Escultando, acompañándole, personas felices;el rey, una piada que la Chiesa está afrontando con decisión y fermeza, Escultando y acompañándole personas felices.
RTP1_HD;2024-10-02 01:14:36.0;2024-10-02 01:15:00.0;War and Conflicts;missão militar europeia, Cabo Delgado, Moçambique, combate ao terrorismo, português, treinar tropas moçambicanas, assistência, chefias militares, correspondente, Tiago Contrari;Já entro em funções a nova missão militar europeia em Cabo Delgado, em Moçambique. É uma missão militar de combate ao terrorismo e é comandada por um português. O objetivo inicial foi treinar as tropas moçambicanas neste combate. A partir de agora, os militares europeus vão dar assistência às chefias militares de Moçambique. que a reportagem é do correspondente Tiago Contrari.
